,track_id,title,artist_id,artist_mbid,artist_name,duration,entry_id,user_id,num_plays
0,TRALEPN128F9311179,Dancing Shoes,ARM0P6Z1187FB4D466,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,141.13914,66635,0fa40519d4e6f85c9eaddcdf107e8f6d431942b5,115
1,TRBDOVF128E0795641,Baby Boy [feat. Beyonce],AR65K7A1187FB4DAA4,183105b5-3e68-4748-9086-2c1c11bf7a3d,Sean Paul,245.34159,125670,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,6
2,TRAJHCO128F42570C1,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson),ARVUN5F1187FB4CCC7,0d85b9f2-802d-48bb-aa85-6a9668869053,Beenie Man Featuring Janet Jackson,215.90159,125671,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,38
3,TRAASGM128EF34DBB0,Never Forget Me,ARUZRFN1187B98AC05,2fa45bbb-0efb-4950-9d40-94bf23cbfec1,Bone Thugs-N-Harmony / Akon,286.30159,125675,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,3
4,TRACFYQ128E0784150,Poppin' Them Thangs,ARRXG5Y1187B9AA016,3a212655-d7d5-4570-9d31-4b7b1ef02629,G-Unit,242.52036,125837,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,1
5,TRARWQY128F1462A4C,Dipset (Santana's Town) (Skit),ARZXTEY1187B9997A7,bea235a0-db63-44b1-881e-264d25791f5a,Juelz Santana / Freekey Zeekey / Monique Garnett,79.64689,125850,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,10
6,TRAOOHM128F1453E33,Lil' Boy Fresh,ARZXTEY1187B9997A7,bea235a0-db63-44b1-881e-264d25791f5a,Juelz Santana,233.92608,125867,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,54
7,TRAPFXX128E0785EBA,Clown,ARKSZW81187B9B695D,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,196.93669,125911,c0ff0f1c93f67c1fb372b36b1b08bb4c76bead7d,15
8,TRALPOE128F4272278,Ruta Del Coya,AR2S6UD1187B9B944F,dbe1d6c8-1319-4369-924a-65bb1f9fced5,León Gieco,266.762,169388,889c415eed565d927c11cee844de911a75245c8f,64
9,TRAJEYL128F931B518,Time Will Tell,ARZAHDN1187B9B4BED,e5348c4f-6907-4be7-b597-53bedbbc8e60,Ice,285.77914,169399,889c415eed565d927c11cee844de911a75245c8f,73
10,TRBEONB128EF3405E6,Dekh Le,AR1H4F51187B9946A5,33356218-efb2-44a8-9012-1f6e10ac9d69,Sunidhi Chauhan / Anu Malik / Jatin Sharma,319.32036,169410,889c415eed565d927c11cee844de911a75245c8f,1
11,TRAAIII128F427D5D8,Little Girl (LP Version),ARTB5PP1187FB523B7,3f6ae36d-ffdb-40cf-98e6-8023cb1c41c9,Donny Hathaway,283.21914,169438,889c415eed565d927c11cee844de911a75245c8f,1
12,TRABKUJ128F4292445,Pero Me Acuerdo De Tí,AR0S7TA1187FB4D024,b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,266.73587,222497,d81d22848e36062fc197a0e23d3690d896364a33,94
13,TRAYBVN128F932245C,Pose No Threat,ARHUEFT1187B989694,76bdbf71-a74a-47f3-8276-d21bd5bd2dba,Lunasicc,291.7873,222527,d81d22848e36062fc197a0e23d3690d896364a33,3
14,TRAPMTM128F425B4E5,Georgia,AR3DCWS1187B9A4416,e0d8f3a8-5f8e-4f4d-b721-2ad23b9c3ba0,Cartel,234.1873,222536,d81d22848e36062fc197a0e23d3690d896364a33,2
15,TRAAZLK128F93586D6,Give It What U Got,ARXG6L11187FB5695E,48f2decd-51aa-42ce-acff-f9171b9de1b4,SWAMI featuring Asuivre,260.28363,222557,d81d22848e36062fc197a0e23d3690d896364a33,2
16,TRARLGD128F93119C1,I Constantly Thank God For Esteban [Live In Chicago],ARL6FF81187FB5A916,b9472588-93f3-4922-a1a2-74082cdf9ce8,Panic At The Disco,253.23057,222620,d81d22848e36062fc197a0e23d3690d896364a33,1
17,TRBGCAK128F425F3CC,Firestarter,AR4L4WQ1187FB51996,4a4ee089-93b1-4470-af9a-6ff575d32704,The Prodigy,225.09669,236319,c3494a818d2f4833ee4189e3c01eec8c3d043d4a,103
18,TRARUTP128E0797FC7,Crawling (Album Version),ARQUMH41187B9AF699,f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,208.95302,422075,9a0450bcdbbab79d5c2d3a251c820cd88ec0fa0e,5
19,TRAACCG128F92E8A55,Setanta matins,AR5KOSW1187FB35FF4,d3cc4c24-1b5b-4d71-bcc9-1940e0e3e9d3,Elena,269.58322,422095,9a0450bcdbbab79d5c2d3a251c820cd88ec0fa0e,158
20,TRBDOVF128E0795641,Baby Boy [feat. Beyonce],AR65K7A1187FB4DAA4,183105b5-3e68-4748-9086-2c1c11bf7a3d,Sean Paul,245.34159,478249,d661dc67924c3e06082fad9061a42b2e83f32d6d,1
21,TRAMCND128F1466ACF,Get It Together,ARLHO5Z1187FB4C861,9beb62b2-88db-4cea-801e-162cd344ee53,Beastie Boys,245.7073,478252,d661dc67924c3e06082fad9061a42b2e83f32d6d,152
