track_id,title,artist_id,artist_mbid,artist_name,duration
TRARRZU128F4253CA2,Je Sais Que La Terre Est Plate,AREJXK41187B9A4ACC,c43bb0d6-94d7-410f-80fb-e5a243b18d23,Raphaël,148.74077
TRARRJL128F92DED0E,On Efface,AR2XRFQ1187FB417FE,a69cd724-2f57-4ed0-bfed-ba20401eb84c,Julie Zenatti,252.99546
TRARRUZ128F9307C57,Howells Delight,ARODOO01187FB44F4A,60bd8a1c-c093-4849-8f28-08101ca059b1,The Baltimore Consort,78.0273
TRARRWA128F42A0195,Martha Served,ARJGW911187FB586CA,44b5b950-2ae2-403a-8c67-82d8fc72033d,I Hate Sally,163.63057
TRARRPG12903CD1DE9,Zip-A-Dee-Doo-Dah (Song of the South),AR9HQ6Y1187FB3C2CB,0e6524bd-6641-46a6-bce5-96f06c19aa46,Orlando Pops Orchestra,199.99302
TRARRER128F9328521,Liquid Time (composition by John Goodsall),ARDPTGD1187B9AD361,097c86bc-b2b6-4791-833b-39b5385fe3e6,Brand X,279.35302
TRARRYC128F428CCDA,Misery Path (From the Privilege of Evil),ARV8T9T1187B99F3F4,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,Amorphis,255.03302
TRARROY128F42281F7,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),ARJ5BEW1187FB52361,de885e5b-284d-4dac-954c-48c7d7e2ebe5,Inoki,259.3171
TRARREF128F422FD96,Halloween,AR050VJ1187B9B13A7,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,Dead Kennedys,216.842
TRARRVB128F92F47CA,Parto em terras distantes,AR8KUS11187B98C991,050ce7ea-0935-430f-bcec-b83e702298eb,Brigada Victor Jara,312.99873
TRARRQO128F427B5F5,You Eclipsed By Me (Album Version),ARMOHN71187FB3959F,17e137fb-59e5-4fd7-af48-afc34995396c,Atreyu,218.90567
TRARRMK12903CDF793,Shovel,ARQ0HOT1187B9A25FA,e8143d56-f2e9-4122-9666-6aa5352dadcd,Mistress,580.70159
TRARUOP12903CF2384,What Drives The Weak,ARK8OHG1187B99016A,2e3b75d8-00a8-486a-b4e7-a1f8f65e64c9,Shadows Fall,283.48036
TRARURM128F931A91B,Life Force,ARZFRQM1187B9A9772,17be2a06-5295-43ca-a363-c683b562df72,Vanessa Daou,229.66812
TRARUDQ128F934B0ED,The Dance Of Europe,ARQFKVO1187B9B1777,99f0e05e-e63e-4b48-a0a7-039ad3f9fc3d,Dave Brockie Experience,135.8624
TRARUHU128F92FDC00,Spoonie Is Back,ARB2M051187FB56FA9,336f2e14-b064-45c8-8b2a-01663a0bee64,Spoonie Gee,393.63873
TRARUFE128F92F5D21,Blood Round Dance Song (World),AREJ5K11187B993F5F,3c050ada-9db8-4e87-86fb-11c5294f9711,R. Carlos Nakai,146.33751
TRARUTP128E0797FC7,Crawling (Album Version),ARQUMH41187B9AF699,f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,208.95302
TRARUYJ128F9316C65,Bennie,ARCQ3LZ1187FB49B42,45d921dd-aaf9-4f72-9a8c-101ec24b9186,Koffi Olomidé,625.78893
TRARITF12903CE7DA9,Playa del sous-sol,ARWNTXK11EBCD7BBFB,,Alain-François,172.01587
TRARIGL128F422B9CE,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),AR7SVRP1187FB55875,5ccd3ed0-9a0e-412e-93b4-9ad5dd151547,Billy May & His Orchestra,312.92036
TRARIRG128F147FC96,I'm Not Moving,AR9W3X91187FB3994C,401c3991-b76b-499d-8082-9f2df958ef78,Phil Collins,154.93179
TRARIMG128F931B45A,Grand Frère,ARWNRBH1187B9B7E68,0ac4021c-ccbc-4a86-a565-83364ef51e42,Philippe Sarde,528.22159
TRARIPU128F92FA1E1,Up Above My Head,AR6TD9K1187B9A207D,f5625c87-5a62-4b3b-a375-fe08a71acddc,Sister Rosetta Tharpe & Marie,146.80771
TRARIWH128E079349F,Columbia,ARBUOOR1187B997391,ecf9f3a3-35e9-4c58-acaa-e707fba45060,Oasis,324.80608
TRARIIY128F147187D,Radar For Love,ARMI8BW1187FB57B2E,98b67ebc-5606-4cdb-9787-47b12cceb101,Kiss,241.08363
